recipient,donor,total,Air_transport,Rail_transport,Industrial_development,Power_generation_non_renewable_sources,RESCHEDULING_AND_REFINANCING,data2
Poland,Germany,13905028436,0,0,0,0,13905028436,0-0-0-0-13905028436
India,Germany,3618236699,0,284985226,1768993054,1564258419,0,0-284985226-1768993054-1564258419-0
Colombia,Germany,293590315,15829434,191557984,53036463,33166434,0,15829434-191557984-53036463-33166434-0
Thailand,Germany,383073465,0,162391210,166368356,54313899,0,0-162391210-166368356-54313899-0
Brazil,Germany,122104478,0,39749314,82355164,0,0,0-39749314-82355164-0-0
Korea,Germany,104087702,0,29015007,75072695,0,0,0-29015007-75072695-0-0
Chile,Germany,12253925,0,0,12253925,0,0,0-0-12253925-0-0
South Africa,Germany,937574,0,0,937574,0,0,0-0-937574-0-0
Brazil,United States,6550037448,3456194517,309560040,1785108528,999174363,0,3456194517-309560040-1785108528-999174363-0
Saudi Arabia,United States,3803858485,3423114025,386553,254167658,126190249,0,3423114025-386553-254167658-126190249-0
Korea,United States,7630370417,5260158081,105533013,866792664,1397886659,0,5260158081-105533013-866792664-1397886659-0
India,United States,5123836579,2273859378,35997362,1295117393,1518862446,0,2273859378-35997362-1295117393-1518862446-0
Thailand,United States,3458693221,1378790278,18742,1460262364,619621837,0,1378790278-18742-1460262364-619621837-0
Poland,United States,1364016689,815085967,0,548534715,396007,0,815085967-0-548534715-396007-0
Colombia,United States,2541050266,221288646,154388,789030171,1530577061,0,221288646-154388-789030171-1530577061-0
South Africa,United States,852290609,840454769,533570,9681699,1620571,0,840454769-533570-9681699-1620571-0
Kuwait,United States,302808513,0,0,278059881,24748632,0,0-0-278059881-24748632-0
Chile,United States,1520202581,777158312,16601,675643062,67384606,0,777158312-16601-675643062-67384606-0
India,Japan,18147354250,0,11519785524,2540561929,4087006797,0,0-11519785524-2540561929-4087006797-0
Korea,Japan,1411105915,0,903052049,508053866,0,0,0-903052049-508053866-0-0
Thailand,Japan,9267911685,2648319527,5249205847,1348021971,22364340,0,2648319527-5249205847-1348021971-22364340-0
Chile,Japan,72581739,0,67201891,5379848,0,0,0-67201891-5379848-0-0
Saudi Arabia,Japan,222224525,0,0,222224525,0,0,0-0-222224525-0-0
South Africa,Japan,65601332,0,65416241,185091,0,0,0-65416241-185091-0-0
Brazil,Japan,303291577,100165,1249130,301942282,0,0,100165-1249130-301942282-0-0
Colombia,Japan,187664,23,26351,161290,0,0,23-26351-161290-0-0
Poland,Belgium,797173879,0,0,0,0,797173879,0-0-0-0-797173879
Brazil,Belgium,96453484,0,0,1152172,0,95301312,0-0-1152172-0-95301312
India,Belgium,1083431,0,0,223779,859652,0,0-0-223779-859652-0
Thailand,Belgium,4321272,125252,430774,3765246,0,0,125252-430774-3765246-0-0
Colombia,Belgium,908674,0,0,437122,471552,0,0-0-437122-471552-0
Chile,Belgium,522868,0,0,522868,0,0,0-0-522868-0-0
South Africa,Belgium,7238,0,0,7238,0,0,0-0-7238-0-0
India,United Kingdom,1204238445,226060281,214915085,141881911,621381168,0,226060281-214915085-141881911-621381168-0
Brazil,United Kingdom,137991613,0,0,39174808,98816805,0,0-0-39174808-98816805-0
Thailand,United Kingdom,136049714,0,12874688,123175026,0,0,0-12874688-123175026-0-0
South Africa,United Kingdom,98226733,0,0,29567081,68659652,0,0-0-29567081-68659652-0
Poland,United Kingdom,40788415,2702617,411633,37674165,0,0,2702617-411633-37674165-0-0
Colombia,United Kingdom,11312265,0,0,1214104,10098161,0,0-0-1214104-10098161-0
Colombia,France,218542661,19509180,187097740,11935741,0,0,19509180-187097740-11935741-0-0
India,France,1233784538,93048552,165780050,736412685,238543251,0,93048552-165780050-736412685-238543251-0
Chile,France,139828876,859097,138444885,524894,0,0,859097-138444885-524894-0-0
Thailand,France,143598220,638493,109211256,23981834,9766637,0,638493-109211256-23981834-9766637-0
Brazil,France,111245166,0,111245166,0,0,0,0-111245166-0-0-0
Korea,France,28351088,0,22092,28328996,0,0,0-22092-28328996-0-0
Poland,France,3437808,0,1262932,2174876,0,0,0-1262932-2174876-0-0
South Africa,France,3365520,2331311,1034209,0,0,0,2331311-1034209-0-0-0
India,Kuwait,280457709,0,0,131175647,149282062,0,0-0-131175647-149282062-0
Thailand,Kuwait,65310902,0,0,0,65310902,0,0-0-0-65310902-0
India,Italy,254284699,0,0,254284699,0,0,0-0-254284699-0-0
Colombia,Italy,51781469,12425310,0,8956908,30399251,0,12425310-0-8956908-30399251-0
Poland,Italy,7257261,0,1342614,5914647,0,0,0-1342614-5914647-0-0
Thailand,Italy,1488852,0,1488852,0,0,0,0-1488852-0-0-0
Brazil,Italy,796334,0,0,780657,15677,0,0-0-780657-15677-0
Chile,Italy,569118,0,0,569118,0,0,0-0-569118-0-0
Thailand,Saudi Arabia,95676536,0,0,0,95676536,0,0-0-0-95676536-0
India,Saudi Arabia,79371799,0,79371799,0,0,0,0-79371799-0-0-0
India,Norway,162963056,2316419,0,160646315,322,0,2316419-0-160646315-322-0
South Africa,Norway,15475887,13527,24172,15424548,13640,0,13527-24172-15424548-13640-0
Thailand,Norway,6364805,60502,0,6304303,0,0,60502-0-6304303-0-0
Chile,Norway,392917,0,0,392917,0,0,0-0-392917-0-0
Brazil,Norway,80831,0,0,80831,0,0,0-0-80831-0-0
Thailand,Finland,58111179,0,0,58111179,0,0,0-0-58111179-0-0
India,Finland,31746338,0,0,31746338,0,0,0-0-31746338-0-0
Poland,Finland,6313047,0,0,6313047,0,0,0-0-6313047-0-0
South Africa,Finland,7517,0,0,7517,0,0,0-0-7517-0-0
India,Denmark,160372258,0,0,160372258,0,0,0-0-160372258-0-0
Thailand,Denmark,12938943,0,5010773,7334447,593723,0,0-5010773-7334447-593723-0
South Africa,Denmark,4467244,0,0,4467244,0,0,0-0-4467244-0-0
Colombia,Denmark,200450,0,0,200450,0,0,0-0-200450-0-0
Thailand,Australia,36739914,75135,36367087,26897,270795,0,75135-36367087-26897-270795-0
India,Australia,31023134,0,2671116,24434534,3917484,0,0-2671116-24434534-3917484-0
South Africa,Australia,91287,0,0,91287,0,0,0-0-91287-0-0
Thailand,Canada,96868207,443224,0,70008809,26416174,0,443224-0-70008809-26416174-0
India,Canada,88426694,14224407,159410,54685827,19357050,0,14224407-159410-54685827-19357050-0
Brazil,Canada,35820703,0,17693,29748658,6054352,0,0-17693-29748658-6054352-0
South Africa,Canada,26700909,0,0,26700909,0,0,0-0-26700909-0-0
Colombia,Canada,23245209,0,0,23245209,0,0,0-0-23245209-0-0
